,gender_female,gender_male,region_Chungcheung,region_Honam,region_Others,region_Sudo,region_Youngnam,edu,income,age,score_gov,score_progress,score_intention,vote,parties
106,0,1,0,0,0,0,1,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.35,0,4
107,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.6666666666666667,0.5,0.5,0.25,1,4
108,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.3333333333333333,0.25,0.0,0.5,0,2
109,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.6666666666666667,0.75,0.75,0.25,1,1
110,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.6666666666666667,0.75,0.75,0.4,1,1
111,1,0,0,0,0,0,1,0.0,0.0,0.3333333333333333,0.25,0.25,0.55,0,2
112,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.7,1,2
113,0,1,0,0,1,0,0,0.5,0.6666666666666667,0.3333333333333333,0.75,0.5,0.6,0,1
114,1,0,0,1,0,0,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.25,0,4
115,1,0,0,0,0,1,0,0.5,0.6666666666666667,0.3333333333333333,0.5,0.5,0.75,1,4
116,1,0,0,0,0,1,0,1.0,0.0,0.3333333333333333,0.75,0.75,0.7,1,4
117,0,1,0,0,0,0,1,0.5,0.0,0.3333333333333333,0.5,0.5,0.55,1,4
118,0,1,0,0,0,1,0,0.5,0.6666666666666667,1.0,0.5,0.5,0.30000000000000004,0,4
119,0,1,0,0,0,0,1,0.0,0.0,0.3333333333333333,0.75,0.5,0.25,1,1
120,0,1,1,0,0,0,0,0.0,0.0,0.3333333333333333,0.75,0.75,0.55,1,1
121,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.5,0.75,0.55,0,4
122,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.0,0.0,0.8999999999999999,1,2
123,0,1,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.75,0.75,0.44999999999999996,1,1
124,0,1,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.25,0.25,0.30000000000000004,1,4
125,0,1,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.5,0.5,0.8500000000000001,1,4
126,0,1,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.25,0.25,0.55,1,2
127,1,0,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.75,0.5,0.30000000000000004,0,3
128,1,0,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.5,0.75,0.7,0,3
129,0,1,0,0,0,0,1,0.5,0.0,0.3333333333333333,0.5,0.75,0.55,0,4
130,0,1,0,1,0,0,0,0.0,0.3333333333333333,1.0,0.5,0.25,0.2,0,4
131,1,0,0,1,0,0,0,0.0,0.6666666666666667,1.0,0.75,0.25,0.6,1,2
132,1,0,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.25,0.25,0.44999999999999996,0,2
133,1,0,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.75,0.75,0.5,1,1
134,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.25,0.25,0.5,1,2
135,1,0,0,0,0,1,0,0.0,0.0,1.0,0.25,0.25,0.5,1,4
136,0,1,0,0,0,1,0,1.0,0.6666666666666667,1.0,0.0,0.0,0.7,1,2
137,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.65,1,4
138,0,1,0,0,1,0,0,0.5,0.0,1.0,0.25,0.5,0.8,1,2
139,0,1,0,1,0,0,0,0.5,1.0,1.0,0.5,0.5,0.65,1,2
140,1,0,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.5,0.25,0.5,0,4
141,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.6666666666666667,0.25,0.75,0.5,1,4
142,1,0,0,0,0,1,0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.75,0.55,0,4
143,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.75,0.75,0.30000000000000004,1,4
144,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.6666666666666667,0.5,0.5,0.55,1,3
145,0,1,0,1,0,0,0,0.5,0.6666666666666667,1.0,0.5,0.75,0.4,1,1
146,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.75,0.5,0.30000000000000004,0,4
147,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.6666666666666667,0.25,0.25,0.25,1,2
148,0,1,0,0,1,0,0,1.0,0.3333333333333333,0.6666666666666667,0.75,0.0,0.30000000000000004,1,1
149,0,1,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.75,0.65,1,1
150,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.5,0.75,0.4,0,1
151,0,1,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.30000000000000004,0,4
152,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.25,0.75,0.5,0,3
153,1,0,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.75,0.75,0.30000000000000004,0,4
154,0,1,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.5,1.0,0.0,0,4
155,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.30000000000000004,0,4
156,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.5,0.5,0.5,1,1
157,0,1,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.75,0.75,0.65,1,4
158,0,1,0,0,0,0,1,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.4,1,1
159,1,0,0,0,0,1,0,0.5,0.6666666666666667,0.3333333333333333,0.25,0.5,0.44999999999999996,0,3
160,0,1,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.75,0.75,0.7,1,1
161,1,0,0,0,0,0,1,0.0,0.0,0.0,0.25,0.25,0.55,0,2
162,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,1.0,0.0,0.65,1,4
163,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.25,0.25,0.5,0,2
164,1,0,1,0,0,0,0,0.0,0.0,0.0,0.75,0.25,0.65,1,4
165,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.75,0.25,0.55,1,4
166,0,1,0,0,1,0,0,0.5,0.0,1.0,0.25,0.5,0.8,1,2
167,0,1,0,0,0,1,0,0.5,0.6666666666666667,0.6666666666666667,0.5,0.75,0.4,1,4
168,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.75,0.75,0.55,0,1
169,1,0,0,0,0,1,0,0.0,1.0,1.0,0.5,0.25,0.25,1,2
170,1,0,0,0,1,0,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.4,0,1
171,0,1,0,1,0,0,0,0.5,1.0,0.6666666666666667,0.5,0.25,0.5,0,3
172,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.5,0.5,0.4,0,4
173,0,1,1,0,0,0,0,0.5,1.0,1.0,0.5,0.75,0.5,1,3
174,1,0,0,0,0,1,0,0.5,0.0,0.3333333333333333,1.0,0.25,0.09999999999999998,1,2
175,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.75,1,4
176,0,1,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.25,0.25,0.35,0,2
177,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.25,0.5,0.30000000000000004,0,2
178,1,0,0,0,0,1,0,0.0,0.0,0.0,0.5,0.25,0.15000000000000002,1,4
179,1,0,0,0,0,1,0,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,1,1
180,1,0,0,1,0,0,0,0.0,0.0,0.0,0.5,0.5,0.55,1,1
181,0,1,0,0,0,1,0,0.5,0.0,0.3333333333333333,0.5,1.0,0.30000000000000004,1,1
